source_ticker,target_ticker,relationship_type,direction,evidence_label,source_url,source_date,verified_at,active,source_kind,source_title,relationship_note,change_type,change_date,materiality_level,materiality_evidence
INVE-B.ST,ABB.ST,ownership,two_sided,Investor AB lists ABB among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INVE-B.ST,AZN.ST,ownership,two_sided,Investor AB lists AstraZeneca among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INVE-B.ST,ATCO-A.ST,ownership,two_sided,Investor AB lists Atlas Copco among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INVE-B.ST,ELUX-B.ST,ownership,two_sided,Investor AB lists Electrolux among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INVE-B.ST,EPI-A.ST,ownership,two_sided,Investor AB lists Epiroc among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INVE-B.ST,ERIC-B.ST,ownership,two_sided,Investor AB lists Ericsson among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INVE-B.ST,HUSQ-B.ST,ownership,two_sided,Investor AB lists Husqvarna among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INVE-B.ST,NDAQ,ownership,two_sided,Investor AB lists Nasdaq among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INVE-B.ST,SAAB-B.ST,ownership,two_sided,Investor AB lists Saab among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INVE-B.ST,SEB-A.ST,ownership,two_sided,Investor AB lists SEB among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INVE-B.ST,SOBI.ST,ownership,two_sided,Investor AB lists Sobi among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INVE-B.ST,WRT1V.HE,ownership,two_sided,Investor AB lists Wärtsilä among its listed-company holdings,https://www.investorab.com/,2026-09-09,2026-09-09,true,company_portfolio_page,Investor AB – Building best-in-class companies,Current listed-company portfolio page observed 2026-09-09.,,,,
INDU-C.ST,SAND.ST,ownership,two_sided,Industrivärden lists Sandvik as a portfolio holding at 30 June 2026,https://www.industrivarden.se/verksamheten/portfoljen/agarandelar-och-utveckling/,2026-06-30,2026-09-09,true,company_portfolio_page,Industrivärden – Ägarandelar och utveckling,Portfolio composition dated 2026-06-30; verified against company portfolio page 2026-09-09.,,,,
INDU-C.ST,VOLV-B.ST,ownership,two_sided,Industrivärden lists Volvo as a portfolio holding at 30 June 2026,https://www.industrivarden.se/verksamheten/portfoljen/agarandelar-och-utveckling/,2026-06-30,2026-09-09,true,company_portfolio_page,Industrivärden – Ägarandelar och utveckling,Portfolio composition dated 2026-06-30; verified against company portfolio page 2026-09-09.,,,,
INDU-C.ST,SHB-A.ST,ownership,two_sided,Industrivärden lists Handelsbanken as a portfolio holding at 30 June 2026,https://www.industrivarden.se/verksamheten/portfoljen/agarandelar-och-utveckling/,2026-06-30,2026-09-09,true,company_portfolio_page,Industrivärden – Ägarandelar och utveckling,Portfolio composition dated 2026-06-30; verified against company portfolio page 2026-09-09.,,,,
INDU-C.ST,ESSITY-B.ST,ownership,two_sided,Industrivärden lists Essity as a portfolio holding at 30 June 2026,https://www.industrivarden.se/verksamheten/portfoljen/agarandelar-och-utveckling/,2026-06-30,2026-09-09,true,company_portfolio_page,Industrivärden – Ägarandelar och utveckling,Portfolio composition dated 2026-06-30; verified against company portfolio page 2026-09-09.,,,,
INDU-C.ST,SCA-B.ST,ownership,two_sided,Industrivärden lists SCA as a portfolio holding at 30 June 2026,https://www.industrivarden.se/verksamheten/portfoljen/agarandelar-och-utveckling/,2026-06-30,2026-09-09,true,company_portfolio_page,Industrivärden – Ägarandelar och utveckling,Portfolio composition dated 2026-06-30; verified against company portfolio page 2026-09-09.,,,,
INDU-C.ST,SKA-B.ST,ownership,two_sided,Industrivärden lists Skanska as a portfolio holding at 30 June 2026,https://www.industrivarden.se/verksamheten/portfoljen/agarandelar-och-utveckling/,2026-06-30,2026-09-09,true,company_portfolio_page,Industrivärden – Ägarandelar och utveckling,Portfolio composition dated 2026-06-30; verified against company portfolio page 2026-09-09.,,,,
INDU-C.ST,ERIC-B.ST,ownership,two_sided,Industrivärden lists Ericsson as a portfolio holding at 30 June 2026,https://www.industrivarden.se/verksamheten/portfoljen/agarandelar-och-utveckling/,2026-06-30,2026-09-09,true,company_portfolio_page,Industrivärden – Ägarandelar och utveckling,Portfolio composition dated 2026-06-30; verified against company portfolio page 2026-09-09.,,,,
INDU-C.ST,ALLEI.ST,ownership,two_sided,Industrivärden lists Alleima as a portfolio holding at 30 June 2026,https://www.industrivarden.se/verksamheten/portfoljen/agarandelar-och-utveckling/,2026-06-30,2026-09-09,true,company_portfolio_page,Industrivärden – Ägarandelar och utveckling,Portfolio composition dated 2026-06-30; verified against company portfolio page 2026-09-09.,,,,
TELIA.ST,ERIC-B.ST,customer_supplier,positive,Ericsson says Telia extended its RAN partnership across Sweden Norway Lithuania and Estonia in a four-year agreement,https://www.ericsson.com/en/press-releases/2025/11/telia-extends-ericsson-ran-partnership-in-sweden-norway-lithuania-and-estonia,2025-11-06,2026-09-09,true,company_ir,Ericsson – Telia extends Ericsson RAN partnership,Named four-year customer-supplier agreement; customer demand at Telia can be a directional read-through clue for Ericsson but is not proof of material earnings impact.,contract_extension,2025-11-06,multiyear,Four-year RAN agreement across four named markets; no revenue share disclosed.
ELISA.HE,NOKIA.HE,customer_supplier,positive,Nokia says Elisa awarded Nokia a new four-year contract extension covering Finland and Estonia,https://www.nokia.com/newsroom/nokia-and-elisa-modernize-network-for-advanced-5g-era/,2025-06-12,2026-09-09,true,company_ir,Nokia and Elisa modernize network for Advanced 5G era,Named four-year customer-supplier contract; used only as directional discovery context.,contract_extension,2025-06-12,multiyear,New four-year contract extension covering Finland and Estonia; no revenue share disclosed.
BOL.ST,EPI-A.ST,customer_supplier,positive,Epiroc identifies Boliden as a customer and describes a long-term collaboration on rock drilling tools and digital reporting,https://www.epirocgroup.com/en/media/corporate-press-releases/2026/20260526-epiroc-awards-recognize-collaboration--innovation-and-service,2026-05-26,2026-09-09,true,company_ir,Epiroc Awards recognize collaboration innovation and service,Explicit customer relationship and long-term collaboration; no claim about revenue materiality.,collaboration_confirmation,2026-05-26,qualitative,"Long-term collaboration is explicitly described, but no new volume or financial scope is disclosed."
VOLV-B.ST,SSAB-A.ST,customer_supplier,positive,SSAB states Volvo Trucks is increasing use of SSAB Zero steel and plans it for around 12000 trucks from 2025,https://www.ssab.com/en/fossil-free-steel/ssab-zero/customers/volvo-trucks,2025-01-01,2026-09-09,true,company_ir,SSAB Zero to be used in 12000 Volvo trucks,Named customer-supplier relationship between Volvo Group truck operations and SSAB; exact revenue exposure is not assumed.,volume_expansion,2025-01-01,quantified_scope,"Use of SSAB Zero described for around 12,000 Volvo trucks; exact supplier revenue contribution is not disclosed."
